Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,10,8,0.556,40.9,0.516,0.441,6292,5597,695,7,3,3,5,3,3,9,7,9,8,1,0,0,0
Glory Carriers,Aftermath,US,AM,12,7,0.632,-15.5,0.6,0.548,5721,5953,-232,7,3,5,4,6,2,11,7,8,7,4,0,0,0
Twintuition,Aftermath,US,AM,12,7,0.632,141.4,0.462,0.431,8270,5866,2404,5,3,7,4,5,4,10,6,12,5,0,2,0,0
Mad Setters,Aftermath,US,AM,1,17,0.053,-355.3,0.539,0.0,1245,3732,-2487,0,9,1,8,0,7,0,16,0,7,1,10,1,0
PG2020,Aftermath,US,AM,12,6,0.667,21.9,0.531,0.467,6482,6153,329,8,1,4,5,5,3,11,5,9,6,3,0,0,0
Double Ds,Ruff Ryders,US,RR,3,16,0.158,-144.8,0.606,0.0,6182,8498,-2316,1,7,2,9,1,8,3,15,0,16,3,0,0,0
Gotham Knights,Ruff Ryders,US,RR,7,10,0.412,-71.3,0.524,0.222,6546,7686,-1140,3,3,4,7,4,3,6,9,6,10,1,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,15,4,0.789,62.7,0.475,0.4,6871,5868,1003,9,2,6,2,7,2,14,4,12,4,3,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,14,5,0.737,189.9,0.538,0.472,6894,4045,2849,6,2,8,3,6,2,14,4,11,4,3,1,0,0
Miller Time,Ruff Ryders,US,RR,6,11,0.353,-62.0,0.584,0.438,6751,7805,-1054,3,6,3,5,2,5,6,9,6,11,0,0,0,0
Chaos Control,State Property,US,SP,12,5,0.706,188.1,0.413,0.346,6368,3735,2633,7,3,5,2,5,3,12,5,9,5,3,0,0,0
House of Minicks,State Property,US,SP,1,15,0.056,-316.4,0.631,0.706,1776,4624,-2848,0,6,1,9,1,6,1,14,1,8,0,7,2,0
PGs Finest,State Property,US,SP,5,13,0.278,-217.0,0.54,0.341,3808,7063,-3255,3,6,2,7,3,5,5,12,5,10,0,3,0,0
TC Tricksters,State Property,US,SP,14,5,0.737,106.4,0.475,0.442,6813,5005,1808,7,2,7,3,4,3,12,5,12,5,2,0,0,0
Team Bui,State Property,US,SP,12,7,0.632,31.2,0.634,0.616,6038,5601,437,9,3,3,4,6,2,11,7,7,7,5,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,4,19,0.16,-182.8,0.62,0.45,1331,2245,-914,2,12,2,7,1,7,4,17,1,4,3,15,2,0
Kimasha,Death Row,THEM,DR,14,6,0.7,-69.0,0.598,0.605,4554,5451,-897,8,3,6,3,6,2,14,6,7,6,7,0,0,0
Star Studded,Death Row,THEM,DR,15,5,0.75,-4.2,0.57,0.49,5420,5474,-54,7,3,8,2,6,2,12,5,8,5,7,0,0,0
That Couple,Death Row,THEM,DR,16,6,0.727,105.9,0.621,0.59,6704,5115,1589,8,3,8,3,7,3,14,6,9,6,7,0,0,0
StickemUp,Death Row,THEM,DR,6,15,0.286,-93.2,0.652,0.683,3666,4505,-839,3,8,3,7,2,8,6,15,2,7,4,8,0,0
M2S,No Limit,THEM,NL,12,7,0.632,7.0,0.599,0.506,5329,5231,98,5,5,7,2,6,2,12,6,8,6,4,1,0,0
Team Marfo,No Limit,THEM,NL,13,8,0.619,17.5,0.519,0.408,6337,6074,263,7,4,6,4,6,4,12,8,8,7,5,1,0,0
Cutting Cuzzins,No Limit,THEM,NL,1,18,0.048,-376.2,0.664,0.0,1076,3333,-2257,1,9,0,9,0,8,1,16,0,6,1,12,2,0
Toshiba Auggie,No Limit,THEM,NL,14,7,0.667,111.8,0.54,0.528,7366,5578,1788,5,2,9,5,7,2,13,7,9,7,5,0,0,0
Us,No Limit,THEM,NL,10,8,0.526,-62.2,0.53,0.437,3729,4289,-560,4,5,6,3,3,6,10,8,5,4,5,4,1,0
Brick City,Roc-A-Fella,THEM,RF,4,16,0.2,103.0,0.621,0.56,2543,1925,618,3,8,1,8,2,6,2,15,4,2,0,14,0,0
Croatias Best,Roc-A-Fella,THEM,RF,5,13,0.25,-68.0,0.641,0.667,813,949,-136,1,6,4,7,2,5,5,11,1,1,4,12,2,0
Gerow Animals,Roc-A-Fella,THEM,RF,11,7,0.611,78.8,0.576,0.599,6864,5604,1260,9,2,2,5,3,4,11,6,9,7,2,0,0,0
Takers,Roc-A-Fella,THEM,RF,9,11,0.45,-138.6,0.493,0.387,4597,6676,-2079,5,3,4,8,5,4,8,10,6,9,3,2,0,0
Dubs,Roc-A-Fella,THEM,RF,16,4,0.8,235.3,0.486,0.419,6888,3594,3294,9,2,7,2,8,1,15,3,10,4,6,0,0,0
