Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,2,0,1.0,225.5,0.333,0.333,1051,600,451,1,0,1,0,2,0,2,0,2,0,0,0,0,0
Glory Carriers,Aftermath,US,AM,1,0,1.0,154.0,0.333,0.333,504,350,154,0,0,1,0,1,0,1,0,1,0,0,0,0,0
JQ Suited,Aftermath,US,AM,1,2,0.333,-72.0,0.8,0.5,1133,1349,-216,1,2,0,0,0,2,1,2,1,2,0,0,0,0
Mad Setters,Aftermath,US,AM,0,2,0.0,-358.5,0.75,0.0,398,1115,-717,0,0,0,2,0,0,0,2,0,2,0,0,0,0
PG2020,Aftermath,US,AM,1,2,0.333,-95.3,0.714,0.5,1173,1459,-286,1,0,0,2,0,1,1,2,1,2,0,0,0,0
Double Ds,Ruff Ryders,US,RR,0,2,0.0,-265.5,0.75,0.0,567,1098,-531,0,1,0,1,0,2,0,2,0,2,0,0,0,0
Gotham Knights,Ruff Ryders,US,RR,2,0,1.0,266.5,0.25,0.25,1147,614,533,1,0,1,0,1,0,2,0,2,0,0,0,0,0
Jerzey Finest,Ruff Ryders,US,RR,1,1,0.5,-9.0,0.2,0.0,908,926,-18,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,2,0,1.0,288.5,0.0,0.0,1078,501,577,2,0,0,0,1,0,2,0,2,0,0,0,0,0
Miller Time,Ruff Ryders,US,RR,1,1,0.5,-40.5,0.5,0.0,942,1023,-81,0,1,1,0,1,1,1,1,1,1,0,0,0,0
Chaos Control,State Property,US,SP,1,1,0.5,92.5,0.25,0.0,899,714,185,1,0,0,1,0,1,1,1,1,1,0,0,0,0
House of Minicks,State Property,US,SP,1,1,0.5,202.5,0.5,0.667,849,444,405,0,0,1,1,1,0,1,1,1,1,0,0,0,0
PGs Finest,State Property,US,SP,0,2,0.0,-112.0,0.75,0.0,800,1024,-224,0,1,0,1,0,0,0,2,0,2,0,0,0,0
TC Tricksters,State Property,US,SP,2,1,0.667,0.7,0.429,0.4,1004,1002,2,1,1,1,0,1,1,2,1,2,1,0,0,0,0
Team Bui,State Property,US,SP,1,1,0.5,-117.0,0.6,0.5,664,898,-234,1,1,0,0,1,1,1,1,1,1,0,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,0,0,NaN,n/a,NaN,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kimasha,Death Row,THEM,DR,1,0,1.0,433.0,0.0,0.0,507,74,433,0,0,1,0,1,0,1,0,1,0,0,0,0,0
Star Studded,Death Row,THEM,DR,1,1,0.5,41.5,0.5,0.0,992,909,83,0,1,1,0,1,0,1,1,1,1,0,0,0,0
That Couple,Death Row,THEM,DR,0,2,0.0,-271.5,0.667,0.0,478,1021,-543,0,2,0,0,0,2,0,2,0,2,0,0,0,0
TSF,Death Row,THEM,DR,0,0,NaN,n/a,NaN,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2S,No Limit,THEM,NL,2,0,1.0,344.0,0.25,0.25,1093,405,688,1,0,1,0,1,0,2,0,2,0,0,0,0,0
Team Marfo,No Limit,THEM,NL,2,0,1.0,125.0,0.25,0.25,1043,793,250,0,0,2,0,1,0,2,0,2,0,0,0,0,0
Cutting Cuzzins,No Limit,THEM,NL,0,2,0.0,-435.5,1.0,0.0,242,1113,-871,0,1,0,1,0,2,0,2,0,2,0,0,0,0
Toshiba Auggie,No Limit,THEM,NL,1,0,1.0,n/a,NaN,0.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
Us,No Limit,THEM,NL,1,1,0.5,94.0,0.5,0.5,539,445,94,1,1,0,0,0,1,1,1,1,0,0,1,0,0
Brick City,Roc-A-Fella,THEM,RF,0,1,0.0,-323.0,0.5,0.0,196,519,-323,0,0,0,1,0,1,0,1,0,1,0,0,0,0
Croatias Best,Roc-A-Fella,THEM,RF,0,1,0.0,-217.0,0.5,0.0,295,512,-217,0,0,0,1,0,1,0,1,0,1,0,0,0,0
Gerow Animals,Roc-A-Fella,THEM,RF,1,1,0.5,-15.0,0.333,0.0,776,806,-30,1,1,0,0,1,1,1,1,1,1,0,0,0,0
Takers,Roc-A-Fella,THEM,RF,1,1,0.5,76.5,0.5,0.5,956,803,153,0,0,1,1,1,0,1,1,1,1,0,0,0,0
Dubs,Roc-A-Fella,THEM,RF,1,1,0.5,141.5,0.667,0.0,997,714,283,1,1,0,0,1,0,1,1,1,1,0,0,0,0
