ID,Date,Home,Away,Home,Away
1,2023-11-06,A3,A2,350,504
2,2023-11-06,B2,A4,568,211
3,2023-11-06,E3,E2,315,525
4,2023-11-06,C4,C2,-61,518
5,2023-11-06,C5,C1,527,352
6,2023-11-06,B4,B1,559,123
7,2023-11-07,E4,D1,1,0
8,2023-11-07,D4,D2,74,507
9,2023-11-07,D3,E1,478,505
10,2023-11-07,F3,F4,264,511
11,2023-11-07,C3,B3,422,505
12,2023-11-07,A4,A2,0,1
13,2023-11-07,A1,A5,537,322
14,2023-11-07,C5,C4,137,546
15,2023-11-08,D1,F2,0,1
16,2023-11-08,F5,E2,478,518
17,2023-11-08,A3,A1,278,514
18,2023-11-08,B5,B2,403,579
19,2023-11-08,E5,E4,0,1
20,2023-11-08,A5,B3,504,403
21,2023-11-08,E1,E3,588,-73
22,2023-11-08,B4,C3,519,378
23,2023-11-09,E5,F4,539,445
24,2023-11-09,D4,D3,404,514
25,2023-11-09,D2,D1,1,0
26,2023-11-09,A3,C2,505,331
27,2023-11-09,C1,A4,547,187
28,2023-11-09,B1,B5,444,539
29,2023-11-09,C4,A5,519,347
30,2023-11-09,F5,F1,519,196
31,2023-11-09,F3,F2,512,295
32,2023-11-13,E3,D4,36,595
33,2023-11-13,D1,F2,0,1
34,2023-11-13,C3,B5,128,516
35,2023-11-13,F1,E1,0,1
36,2023-11-13,C4,B1,550,425
37,2023-11-13,F4,D5,537,496
38,2023-11-13,F3,F5,565,372
39,2023-11-14,B4,B3,356,508
40,2023-11-14,E2,C2,505,152
41,2023-11-14,A3,A4,539,358
42,2023-11-14,D3,D1,1,0
43,2023-11-14,C5,B2,504,249
44,2023-11-14,F1,A1,508,102
45,2023-11-14,D5,F5,254,557
46,2023-11-14,F2,E4,518,437
47,2023-11-14,A2,A1,505,221
48,2023-11-15,C3,C1,425,516
49,2023-11-15,A2,B4,-27,549
50,2023-11-15,A4,A3,-210,508
51,2023-11-15,D2,E2,537,264
52,2023-11-15,D3,F3,86,515
53,2023-11-15,E1,E4,528,191
54,2023-11-16,B3,A2,529,283
55,2023-11-16,E4,D2,431,605
56,2023-11-16,C1,B5,500,26
57,2023-11-16,B1,B2,507,508
58,2023-11-16,C2,C5,0,1
59,2023-11-16,F1,F3,519,344
60,2023-11-16,D5,E5,0,1
