Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,11,1,0.917,148.1,0.451,0.418,5019,3538,1481,6,0,5,1,3,1,9,1,9,1,2,0,0,0
Glory Carriers,Aftermath,US,AM,8,3,0.727,143.2,0.554,0.528,4481,3049,1432,5,1,3,2,4,1,6,3,7,3,1,0,0,0
Twintuition,Aftermath,US,AM,4,2,0.667,8.0,0.471,0.387,2182,2142,40,2,0,2,2,2,1,4,2,3,2,1,0,0,0
Mad Setters,Aftermath,US,AM,0,9,0.0,n/a,NaN,0.0,0,0,0,0,3,0,6,0,4,0,7,0,0,0,9,0,0
PG2020,Aftermath,US,AM,5,6,0.455,-177.8,0.731,0.611,2135,3557,-1422,3,2,2,4,1,3,4,6,2,6,3,0,0,0
Double Ds,Ruff Ryders,US,RR,1,6,0.143,-172.9,0.722,0.727,2516,3726,-1210,0,4,1,2,0,2,1,5,1,6,0,0,0,0
Gotham Knights,Ruff Ryders,US,RR,5,5,0.5,49.9,0.605,0.371,4282,3833,449,3,4,2,1,3,1,4,5,4,5,1,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,1,9,0.1,-362.0,0.727,0.0,1627,4885,-3258,0,6,1,3,0,3,0,8,0,9,1,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,6,5,0.545,-106.0,0.588,0.37,2643,3703,-1060,4,3,2,2,3,1,5,4,5,5,1,0,0,0
Miller Time,Ruff Ryders,US,RR,6,4,0.6,56.1,0.609,0.469,3121,2728,393,4,1,2,3,2,1,5,4,3,4,3,0,0,0
Chaos Control,State Property,US,SP,10,1,0.909,263.4,0.476,0.461,4741,2370,2371,4,0,6,1,2,1,7,1,8,1,2,0,0,0
House of Minicks,State Property,US,SP,0,7,0.0,n/a,NaN,0.0,0,0,0,0,2,0,5,0,4,0,6,0,0,0,7,0,0
PGs Finest,State Property,US,SP,4,5,0.444,-211.2,0.648,0.643,1428,2695,-1267,3,2,1,3,2,0,4,3,2,4,2,1,0,0
TC Tricksters,State Property,US,SP,5,3,0.625,-13.3,0.55,0.516,2210,2290,-80,4,1,1,2,2,2,5,3,3,3,2,0,0,0
Team Bui,State Property,US,SP,7,2,0.778,150.6,0.573,0.528,3999,2794,1205,2,1,5,1,2,1,6,2,6,2,1,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,0,3,0.0,n/a,NaN,0.0,0,0,0,0,2,0,1,0,1,0,2,0,0,0,3,3,0
Kimasha,Death Row,THEM,DR,5,3,0.625,25.7,0.397,0.4,3023,2843,180,4,1,1,2,2,0,4,2,4,3,1,0,0,0
Star Studded,Death Row,THEM,DR,5,2,0.714,226.8,0.565,0.484,2430,1296,1134,3,0,2,2,3,1,4,2,3,2,2,0,0,0
That Couple,Death Row,THEM,DR,6,2,0.75,73.3,0.462,0.373,3183,2670,513,3,0,3,2,0,1,5,2,5,2,1,0,0,0
StickemUp,Death Row,THEM,DR,0,8,0.0,n/a,NaN,0.0,0,0,0,0,5,0,3,0,2,0,6,0,0,0,8,2,0
M2S,No Limit,THEM,NL,5,4,0.556,54.6,0.594,0.375,2832,2450,382,1,3,4,1,0,2,4,3,3,4,2,0,0,0
Team To Beat,No Limit,THEM,NL,8,1,0.889,335.0,0.574,0.51,2753,743,2010,6,1,2,0,2,0,7,1,5,1,3,0,0,0
Cutting Cuzzins,No Limit,THEM,NL,0,8,0.0,n/a,NaN,0.0,0,0,0,0,3,0,5,0,4,0,7,0,0,0,8,2,0
Toshiba Auggie,No Limit,THEM,NL,6,1,0.857,79.6,0.578,0.528,2444,2046,398,4,1,2,0,2,0,5,0,4,1,2,0,0,0
Us,No Limit,THEM,NL,5,4,0.556,-87.7,0.636,0.381,2278,2804,-526,2,2,3,2,3,1,5,3,2,4,3,0,0,0
Brick City,Roc-A-Fella,THEM,RF,0,5,0.0,n/a,NaN,0.0,0,0,0,0,2,0,3,0,3,0,4,0,0,0,5,3,0
Croatias Best,Roc-A-Fella,THEM,RF,0,5,0.0,n/a,NaN,0.0,0,0,0,0,2,0,3,0,3,0,4,0,0,0,5,2,0
Gerow Animals,Roc-A-Fella,THEM,RF,9,1,0.9,-30.3,0.633,0.524,917,1008,-91,3,1,6,0,5,0,8,1,2,1,7,0,0,0
Takers,Roc-A-Fella,THEM,RF,5,6,0.455,-336.6,0.667,0.625,1091,3447,-2356,1,4,4,2,2,1,5,4,1,6,4,0,0,0
Dubs,Roc-A-Fella,THEM,RF,3,9,0.25,-65.3,0.691,0.526,4678,5396,-718,1,5,2,4,1,1,2,8,2,9,1,0,0,0
