Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,2,2,0.5,-59.8,0.529,0.5,1374,1613,-239,1,0,1,2,2,1,2,1,2,2,0,0,0,0
Glory Carriers,Aftermath,US,AM,3,2,0.6,-96.0,0.647,0.556,1265,1649,-384,1,1,2,1,3,0,3,2,2,2,1,0,0,0
Twintuition,Aftermath,US,AM,3,2,0.6,136.6,0.261,0.071,2180,1497,683,2,2,1,0,2,2,3,2,3,2,0,0,0,0
Mad Setters,Aftermath,US,AM,0,5,0.0,-404.0,0.667,0.0,546,2162,-1616,0,2,0,3,0,3,0,5,0,4,0,1,0,0
PG2020,Aftermath,US,AM,1,2,0.333,-95.3,0.667,0.75,1173,1459,-286,1,0,0,2,0,1,1,2,1,2,0,0,0,0
Double Ds,Ruff Ryders,US,RR,0,4,0.0,-164.3,0.688,0.0,1499,2156,-657,0,2,0,2,0,3,0,4,0,4,0,0,0,0
Gotham Knights,Ruff Ryders,US,RR,3,1,0.75,69.8,0.294,0.154,1904,1625,279,1,0,2,1,2,0,3,1,3,1,0,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,3,1,0.75,95.0,0.438,0.462,1945,1565,380,1,0,2,1,1,0,3,1,3,1,0,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,3,1,0.75,250.3,0.353,0.231,1983,982,1001,2,1,1,0,1,1,3,1,3,1,0,0,0,0
Miller Time,Ruff Ryders,US,RR,2,2,0.5,-41.8,0.375,0.0,1484,1651,-167,0,1,2,1,1,1,2,2,2,2,0,0,0,0
Chaos Control,State Property,US,SP,3,1,0.75,187.5,0.294,0.154,1915,1165,750,2,0,1,1,1,1,3,1,3,1,0,0,0,0
House of Minicks,State Property,US,SP,1,3,0.25,17.3,0.692,0.75,1001,949,52,0,1,1,2,1,1,1,2,1,2,0,1,0,0
PGs Finest,State Property,US,SP,0,4,0.0,-175.8,0.688,0.0,1353,2056,-703,0,3,0,1,0,1,0,4,0,4,0,0,0,0
TC Tricksters,State Property,US,SP,3,1,0.75,31.8,0.333,0.364,1554,1427,127,2,1,1,0,1,1,3,1,3,1,0,0,0,0
Team Bui,State Property,US,SP,3,1,0.75,7.0,0.75,0.75,1168,1147,21,2,1,1,0,2,1,3,1,2,1,1,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,0,5,0.0,n/a,NaN,0.0,0,0,0,0,2,0,3,0,2,0,5,0,0,0,5,0,0
Kimasha,Death Row,THEM,DR,4,0,1.0,293.3,0.5,0.5,1649,769,880,2,0,2,0,2,0,4,0,3,0,1,0,0,0
Star Studded,Death Row,THEM,DR,2,2,0.5,-115.3,0.667,0.333,1078,1424,-346,1,2,1,0,2,0,2,2,1,2,1,0,0,0
That Couple,Death Row,THEM,DR,1,2,0.333,5.3,0.545,0.0,1073,1057,16,0,2,1,0,0,2,1,2,1,2,0,0,0,0
StickemUp,Death Row,THEM,DR,0,3,0.0,-172.0,0.571,0.0,750,1094,-344,0,2,0,1,0,0,0,3,0,2,0,1,0,0
M2S,No Limit,THEM,NL,4,0,1.0,341.7,0.333,0.333,1621,596,1025,2,0,2,0,2,0,4,0,3,0,1,0,0,0
Team 2 Beat,No Limit,THEM,NL,3,1,0.75,82.5,0.467,0.273,1812,1482,330,1,0,2,1,1,0,2,1,3,1,0,0,0,0
Cutting Cuzzins,No Limit,THEM,NL,0,3,0.0,-476.7,0.727,0.0,278,1708,-1430,0,2,0,1,0,2,0,3,0,3,0,0,0,0
Toshiba Auggie,No Limit,THEM,NL,2,3,0.4,-197.3,0.917,0.0,1059,1651,-592,1,1,1,2,1,1,2,3,0,3,2,0,0,0
Us,No Limit,THEM,NL,2,1,0.667,94.0,0.667,0.667,539,445,94,1,1,1,0,0,1,2,1,1,0,1,1,0,0
Brick City,Roc-A-Fella,THEM,RF,2,2,0.5,86.0,0.538,0.556,1223,965,258,2,1,0,1,1,1,1,2,2,1,0,1,0,0
Croatias Best,Roc-A-Fella,THEM,RF,3,1,0.75,-68.0,0.5,0.4,813,949,-136,1,0,2,1,0,1,3,1,1,1,2,0,0,0
Gerow Animals,Roc-A-Fella,THEM,RF,3,2,0.6,83.4,0.579,0.583,2200,1783,417,2,1,1,1,2,2,3,2,3,2,0,0,0,0
Takers,Roc-A-Fella,THEM,RF,2,1,0.667,64.7,0.455,0.375,1493,1299,194,1,0,1,1,1,0,2,1,2,1,0,0,0,0
Dubs,Roc-A-Fella,THEM,RF,2,2,0.5,98.3,0.5,0.286,1926,1533,393,1,1,1,1,1,1,2,2,2,2,0,0,0,0
