Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,15,8,0.652,75.7,0.534,0.491,8353,6763,1590,11,3,4,5,4,3,12,7,13,8,2,0,0,0
Glory Carriers,Aftermath,US,AM,15,10,0.6,1.9,0.575,0.573,7639,7602,37,7,4,8,6,7,3,13,10,10,10,5,0,0,0
Twintuition,Aftermath,US,AM,15,8,0.652,134.2,0.483,0.475,10317,7499,2818,7,3,8,5,6,4,13,7,15,6,0,2,0,0
Mad Setters,Aftermath,US,AM,1,23,0.04,-355.3,0.55,0.0,1245,3732,-2487,0,13,1,10,0,9,0,21,0,7,1,16,1,0
PG2020,Aftermath,US,AM,15,8,0.652,1.2,0.538,0.477,7613,7592,21,10,1,5,7,6,4,14,7,10,8,5,0,0,0
Double Ds,Ruff Ryders,US,RR,6,19,0.24,-161.1,0.607,0.6,7373,10595,-3222,3,9,3,10,1,9,5,17,1,19,5,0,0,0
Gotham Knights,Ruff Ryders,US,RR,12,12,0.5,-36.1,0.531,0.359,9357,10151,-794,6,4,6,8,6,4,10,11,10,12,2,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,18,6,0.75,43.4,0.508,0.448,8544,7677,867,10,3,8,3,8,2,16,6,14,6,4,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,16,8,0.667,78.6,0.56,0.506,7669,6098,1571,8,4,8,4,7,3,16,7,13,7,3,1,0,0
Miller Time,Ruff Ryders,US,RR,10,15,0.4,-57.1,0.591,0.484,9743,11114,-1371,6,7,4,8,3,7,9,13,9,15,1,0,0,0
Chaos Control,State Property,US,SP,16,7,0.696,208.6,0.483,0.42,8562,4599,3963,8,4,8,3,6,4,15,7,12,7,4,0,0,0
House of Minicks,State Property,US,SP,1,20,0.043,-316.4,0.643,0.696,1776,4624,-2848,0,8,1,12,1,10,1,19,1,8,0,12,2,0
PGs Finest,State Property,US,SP,8,17,0.32,-206.2,0.553,0.4,4770,8482,-3712,5,7,3,10,4,6,8,15,6,12,2,5,0,0
TC Tricksters,State Property,US,SP,18,6,0.75,112.6,0.508,0.479,8122,5871,2251,9,2,9,4,6,3,15,6,14,6,4,0,0,0
Team Bui,State Property,US,SP,15,8,0.652,27.3,0.63,0.63,6975,6538,437,10,3,5,5,8,2,14,8,8,8,7,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,4,23,0.138,-182.8,0.589,0.429,1331,2245,-914,2,14,2,9,1,8,4,20,1,4,3,19,2,0
Kimasha,Death Row,THEM,DR,17,9,0.654,-63.8,0.585,0.574,6465,7613,-1148,9,4,8,5,7,2,16,8,9,9,8,0,0,0
Star Studded,Death Row,THEM,DR,16,7,0.696,-20.9,0.596,0.515,6213,6526,-313,7,3,9,4,6,3,13,7,8,7,8,0,0,0
That Couple,Death Row,THEM,DR,20,6,0.769,113.4,0.606,0.578,7919,5991,1928,11,3,9,3,8,3,18,6,11,6,9,0,0,0
StickemUp,Death Row,THEM,DR,6,19,0.24,-93.2,0.637,0.673,3666,4505,-839,3,10,3,9,2,8,6,17,2,7,4,12,0,0
M2S,No Limit,THEM,NL,16,10,0.615,-25.4,0.619,0.535,6728,7186,-458,5,7,11,3,7,3,16,8,9,9,7,1,0,0
Team Marfo,No Limit,THEM,NL,16,8,0.667,100.9,0.485,0.385,7355,5640,1715,10,4,6,4,6,4,14,8,10,7,6,1,0,0
Cutting Cuzzins,No Limit,THEM,NL,1,22,0.037,-376.2,0.656,0.0,1076,3333,-2257,1,12,0,10,0,10,1,20,0,6,1,16,4,0
Toshiba Auggie,No Limit,THEM,NL,16,7,0.696,103.2,0.555,0.56,8386,6528,1858,6,2,10,5,7,2,15,7,11,7,5,0,0,0
Us,No Limit,THEM,NL,13,11,0.52,-48.4,0.599,0.503,5892,6569,-677,5,7,8,4,5,6,13,10,7,7,6,4,1,0
Brick City,Roc-A-Fella,THEM,RF,4,18,0.167,103.0,0.637,0.602,2543,1925,618,3,10,1,8,2,8,2,17,4,2,0,16,2,0
Croatias Best,Roc-A-Fella,THEM,RF,5,17,0.192,-68.0,0.702,0.696,813,949,-136,1,9,4,8,2,6,5,14,1,1,4,16,4,0
Gerow Animals,Roc-A-Fella,THEM,RF,17,7,0.708,86.4,0.556,0.565,7397,5928,1469,9,2,8,5,5,4,17,6,10,7,7,0,0,0
Takers,Roc-A-Fella,THEM,RF,12,16,0.429,-176.8,0.529,0.448,5215,8575,-3360,6,7,6,9,6,4,11,13,7,12,5,4,0,0
Dubs,Roc-A-Fella,THEM,RF,18,7,0.72,188.5,0.524,0.436,8670,5277,3393,10,5,8,2,8,1,16,6,11,7,7,0,0,0
