Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,6,3,0.667,46.6,0.513,0.479,3104,2731,373,4,1,2,2,3,2,6,2,5,3,1,0,0,0
Glory Carriers,Aftermath,US,AM,8,4,0.667,-1.1,0.553,0.462,4184,4196,-12,4,2,4,2,5,0,8,4,7,4,1,0,0,0
JQ Suited,Aftermath,US,AM,6,4,0.6,92.6,0.373,0.203,4621,3695,926,2,2,4,2,3,3,6,3,6,4,0,0,0,0
Mad Setters,Aftermath,US,AM,1,10,0.091,-355.3,0.536,0.0,1245,3732,-2487,0,5,1,5,0,5,0,9,0,7,1,3,0,0
PG2020,Aftermath,US,AM,3,5,0.375,-65.8,0.538,0.333,2990,3516,-526,2,0,1,5,1,2,3,4,3,5,0,0,0,0
Double Ds,Ruff Ryders,US,RR,0,11,0.0,-150.8,0.622,0.0,4176,5835,-1659,0,6,0,5,0,6,0,11,0,11,0,0,0,0
Gotham Knights,Ruff Ryders,US,RR,5,6,0.455,-40.5,0.417,0.192,4661,5106,-445,2,2,3,4,3,1,5,5,5,6,0,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,8,2,0.8,54.9,0.409,0.36,3951,3457,494,5,0,3,2,3,1,7,2,7,2,1,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,8,2,0.8,243.0,0.495,0.431,4427,2240,2187,3,2,5,0,4,1,8,2,7,2,1,0,0,0
Miller Time,Ruff Ryders,US,RR,5,4,0.556,33.9,0.506,0.42,3879,3574,305,2,3,3,1,1,2,5,3,5,4,0,0,0,0
Chaos Control,State Property,US,SP,6,3,0.667,129.4,0.367,0.344,4018,2853,1165,4,2,2,1,2,2,6,3,6,3,0,0,0,0
House of Minicks,State Property,US,SP,1,8,0.111,-329.4,0.615,0.667,1245,3551,-2306,0,3,1,5,1,2,1,7,1,6,0,2,0,0
PGs Finest,State Property,US,SP,4,6,0.4,-82.2,0.485,0.256,3647,4469,-822,2,4,2,2,2,1,4,5,4,6,0,0,0,0
TC Tricksters,State Property,US,SP,6,3,0.667,138.3,0.402,0.339,3871,2626,1245,4,2,2,1,2,2,6,3,6,3,0,0,0,0
Team Bui,State Property,US,SP,3,5,0.375,-78.3,0.606,0.55,2846,3394,-548,2,2,1,3,2,2,3,5,2,5,1,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,4,9,0.308,-170.5,0.707,0.636,1055,1737,-682,2,5,2,4,1,2,4,8,1,3,3,6,0,0
Kimasha,Death Row,THEM,DR,7,2,0.778,116.6,0.542,0.558,3281,2465,816,4,1,3,1,3,1,7,2,5,2,2,0,0,0
Star Studded,Death Row,THEM,DR,6,5,0.545,-82.8,0.582,0.48,3690,4518,-828,2,3,4,2,3,2,5,5,5,5,1,0,0,0
That Couple,Death Row,THEM,DR,5,4,0.556,28.6,0.57,0.462,3190,2961,229,2,2,3,2,1,2,4,4,4,4,1,0,0,0
StickemUp,Death Row,THEM,DR,3,6,0.333,-130.8,0.667,0.778,1821,2475,-654,2,4,1,2,1,2,3,6,1,4,2,2,0,0
M2S,No Limit,THEM,NL,7,3,0.7,126.7,0.426,0.388,3216,2329,887,2,2,5,1,4,1,7,3,5,2,2,1,0,0
Team Marfo,No Limit,THEM,NL,5,5,0.5,22.7,0.545,0.405,3969,3765,204,3,2,2,3,2,2,4,5,4,5,1,0,0,0
Cutting Cuzzins,No Limit,THEM,NL,0,9,0.0,-376.2,0.667,0.0,1076,3333,-2257,0,6,0,3,0,5,0,9,0,6,0,3,0,0
Toshiba Auggie,No Limit,THEM,NL,6,5,0.545,76.2,0.562,0.513,3748,3062,686,3,1,3,4,3,1,5,5,4,5,2,0,0,0
U$,No Limit,THEM,NL,7,2,0.778,-54.7,0.5,0.436,2486,2814,-328,3,1,4,1,2,2,7,2,4,2,3,0,0,0
Brick City,Roc-A-Fella,THEM,RF,4,6,0.4,103.0,0.639,0.634,2543,1925,618,3,3,1,3,2,1,2,6,4,2,0,4,0,0
Croatias Best,Roc-A-Fella,THEM,RF,3,6,0.333,-68.0,0.591,0.545,813,949,-136,1,2,2,4,0,2,3,5,1,1,2,5,0,0
Gerow Animals,Roc-A-Fella,THEM,RF,7,4,0.636,124.6,0.574,0.552,5136,3765,1371,5,1,2,3,2,4,7,4,7,4,0,0,0,0
Takers,Roc-A-Fella,THEM,RF,7,4,0.636,16.7,0.462,0.415,4166,3999,167,5,1,2,3,3,1,6,4,6,4,1,0,0,0
Dubs,Roc-A-Fella,THEM,RF,7,2,0.778,224.1,0.424,0.38,4530,2513,2017,4,1,3,1,2,1,6,2,7,2,0,0,0,0
