Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,11,8,0.579,49.6,0.516,0.448,6798,5906,892,7,3,4,5,3,3,9,7,10,8,1,0,0,0
Glory Carriers,Aftermath,US,AM,14,7,0.667,10.8,0.608,0.575,6226,6054,172,7,3,7,4,7,2,13,7,9,7,5,0,0,0
Twintuition,Aftermath,US,AM,13,7,0.65,146.6,0.484,0.456,8774,6136,2638,5,3,8,4,5,4,11,6,13,5,0,2,0,0
Mad Setters,Aftermath,US,AM,1,19,0.048,-355.3,0.531,0.0,1245,3732,-2487,0,11,1,8,0,8,0,18,0,7,1,12,1,0
PG2020,Aftermath,US,AM,13,7,0.65,22.4,0.546,0.495,7440,7059,381,9,1,4,6,5,3,12,6,10,7,3,0,0,0
Double Ds,Ruff Ryders,US,RR,5,17,0.227,-150.5,0.605,0.0,6447,9006,-2559,3,7,2,10,1,9,4,16,0,17,5,0,0,0
Gotham Knights,Ruff Ryders,US,RR,10,10,0.5,-46.7,0.516,0.297,7562,8402,-840,5,3,5,7,5,3,9,9,8,10,2,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,17,5,0.773,55.2,0.497,0.438,8188,7139,1049,10,3,7,2,8,2,16,5,14,5,3,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,14,6,0.7,152.8,0.559,0.487,6995,4550,2445,6,3,8,3,6,2,14,5,11,5,3,1,0,0
Miller Time,Ruff Ryders,US,RR,7,12,0.368,-67.8,0.587,0.439,7547,8835,-1288,4,7,3,5,2,6,7,10,7,12,0,0,0,0
Chaos Control,State Property,US,SP,12,7,0.632,124.4,0.473,0.37,6925,4935,1990,7,4,5,3,5,4,12,7,9,7,3,0,0,0
House of Minicks,State Property,US,SP,1,17,0.05,-316.4,0.628,0.632,1776,4624,-2848,0,7,1,10,1,7,1,16,1,8,0,9,2,0
PGs Finest,State Property,US,SP,6,15,0.286,-204.3,0.525,0.353,4334,7603,-3269,3,7,3,8,4,6,6,14,5,11,1,4,0,0
TC Tricksters,State Property,US,SP,16,5,0.762,138.2,0.488,0.47,7985,5360,2625,7,2,9,3,5,3,13,5,14,5,2,0,0,0
Team Bui,State Property,US,SP,13,8,0.619,21.9,0.637,0.623,6436,6108,328,9,3,4,5,7,2,12,8,7,8,6,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,4,21,0.148,-182.8,0.591,0.391,1331,2245,-914,2,13,2,8,1,8,4,19,1,4,3,17,2,0
Kimasha,Death Row,THEM,DR,16,6,0.727,-49.4,0.61,0.613,5099,5791,-692,9,3,7,3,7,2,16,6,8,6,8,0,0,0
Star Studded,Death Row,THEM,DR,16,6,0.727,-18.5,0.601,0.512,5760,6019,-259,7,3,9,3,6,3,13,6,8,6,8,0,0,0
That Couple,Death Row,THEM,DR,18,6,0.75,105.9,0.626,0.597,6704,5115,1589,9,3,9,3,8,3,16,6,9,6,9,0,0,0
StickemUp,Death Row,THEM,DR,6,17,0.261,-93.2,0.646,0.698,3666,4505,-839,3,8,3,9,2,8,6,16,2,7,4,10,0,0
M2S,No Limit,THEM,NL,14,7,0.667,7.0,0.603,0.509,5329,5231,98,5,5,9,2,7,2,14,6,8,6,6,1,0,0
Team Marfo,No Limit,THEM,NL,14,8,0.636,17.5,0.508,0.393,6337,6074,263,8,4,6,4,6,4,13,8,8,7,6,1,0,0
Cutting Cuzzins,No Limit,THEM,NL,1,19,0.043,-376.2,0.672,0.0,1076,3333,-2257,1,10,0,9,0,9,1,17,0,6,1,13,3,0
Toshiba Auggie,No Limit,THEM,NL,14,7,0.667,111.8,0.539,0.523,7366,5578,1788,5,2,9,5,7,2,13,7,9,7,5,0,0,0
Us,No Limit,THEM,NL,10,10,0.476,-88.6,0.559,0.429,4362,5337,-975,4,7,6,3,3,6,10,9,5,6,5,4,1,0
Brick City,Roc-A-Fella,THEM,RF,4,16,0.19,103.0,0.618,0.561,2543,1925,618,3,8,1,8,2,6,2,15,4,2,0,14,1,0
Croatias Best,Roc-A-Fella,THEM,RF,5,15,0.208,-68.0,0.659,0.667,813,949,-136,1,8,4,7,2,5,5,13,1,1,4,14,4,0
Gerow Animals,Roc-A-Fella,THEM,RF,13,7,0.65,86.4,0.564,0.581,7397,5928,1469,9,2,4,5,3,4,13,6,10,7,3,0,0,0
Takers,Roc-A-Fella,THEM,RF,9,14,0.391,-142.3,0.499,0.392,4906,7182,-2276,5,6,4,8,5,4,8,12,6,10,3,4,0,0
Dubs,Roc-A-Fella,THEM,RF,16,4,0.8,235.3,0.485,0.41,6888,3594,3294,9,2,7,2,8,1,15,3,10,4,6,0,0,0
