Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,8,1,0.889,122.0,0.475,0.449,3408,2554,854,6,0,2,1,2,1,6,1,6,1,2,0,0,0
Glory Carriers,Aftermath,US,AM,6,4,0.6,75.8,0.566,0.522,3784,3102,682,4,1,2,3,2,2,4,4,5,4,1,0,0,0
Twintuition,Aftermath,US,AM,4,1,0.8,103.5,0.469,0.478,2047,1633,414,2,0,2,1,2,0,4,1,3,1,1,0,0,0
Mad Setters,Aftermath,US,AM,0,9,0.0,n/a,NaN,0.0,0,0,0,0,3,0,6,0,4,0,7,0,0,0,9,0,0
PG2020,Aftermath,US,AM,5,3,0.625,-109.8,0.617,0.577,1665,2324,-659,3,0,2,3,2,1,5,3,3,3,2,0,0,0
Double Ds,Ruff Ryders,US,RR,1,4,0.2,-165.0,0.69,0.6,1828,2653,-825,0,3,1,1,0,1,1,3,1,4,0,0,0,0
Gotham Knights,Ruff Ryders,US,RR,4,4,0.5,28.7,0.6,0.4,3211,3010,201,2,3,2,1,2,1,3,4,3,4,1,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,1,6,0.143,-377.8,0.696,0.0,1019,3286,-2267,0,5,1,1,0,3,0,5,0,6,1,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,5,4,0.556,-50.7,0.608,0.474,2740,3196,-456,4,2,1,2,3,1,5,4,5,4,0,0,0,0
Miller Time,Ruff Ryders,US,RR,5,3,0.625,85.0,0.583,0.462,2734,2224,510,3,0,2,3,2,1,4,3,3,3,2,0,0,0
Chaos Control,State Property,US,SP,8,1,0.889,323.3,0.574,0.545,3683,1420,2263,2,0,6,1,2,1,5,1,6,1,2,0,0,0
House of Minicks,State Property,US,SP,0,6,0.0,n/a,NaN,0.0,0,0,0,0,2,0,4,0,4,0,5,0,0,0,6,0,0
PGs Finest,State Property,US,SP,4,5,0.444,-211.2,0.681,0.733,1428,2695,-1267,3,2,1,3,2,0,4,3,2,4,2,1,0,0
TC Tricksters,State Property,US,SP,7,3,0.7,-2.8,0.66,0.76,2238,2255,-17,5,1,2,2,2,2,4,3,3,3,4,0,0,0
Team Bui,State Property,US,SP,5,2,0.714,158.8,0.688,0.645,2959,2006,953,2,1,3,1,2,1,4,2,4,2,1,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,0,3,0.0,n/a,NaN,0.0,0,0,0,0,2,0,1,0,1,0,2,0,0,0,3,2,0
Kimasha,Death Row,THEM,DR,2,3,0.4,-54.8,0.405,0.4,1957,2231,-274,1,1,1,2,1,0,1,2,2,3,0,0,0,0
Star Studded,Death Row,THEM,DR,3,2,0.6,130.3,0.706,0.857,1365,974,391,2,0,1,2,3,1,3,2,1,2,2,0,0,0
That Couple,Death Row,THEM,DR,6,1,0.857,94.3,0.435,0.415,2728,2162,566,3,0,3,1,0,1,5,1,5,1,1,0,0,0
StickemUp,Death Row,THEM,DR,0,6,0.0,n/a,NaN,0.0,0,0,0,0,4,0,2,0,1,0,5,0,0,0,6,1,0
M2S,No Limit,THEM,NL,5,4,0.556,54.6,0.618,0.393,2832,2450,382,1,3,4,1,0,2,4,3,3,4,2,0,0,0
Team 2 Beat,No Limit,THEM,NL,5,0,1.0,421.0,0.432,0.432,2068,384,1684,4,0,1,0,1,0,4,0,4,0,1,0,0,0
Cutting Cuzzins,No Limit,THEM,NL,0,7,0.0,n/a,NaN,0.0,0,0,0,0,2,0,5,0,2,0,5,0,0,0,7,2,0
Toshiba Auggie,No Limit,THEM,NL,4,1,0.8,-8.0,0.524,0.429,1430,1454,-24,3,1,1,0,1,0,3,0,2,1,2,0,0,0
Us,No Limit,THEM,NL,4,2,0.667,34.3,0.647,0.444,1876,1739,137,2,1,2,1,2,0,4,1,2,2,2,0,0,0
Brick City,Roc-A-Fella,THEM,RF,0,4,0.0,n/a,NaN,0.0,0,0,0,0,2,0,2,0,3,0,3,0,0,0,4,2,0
Croatias Best,Roc-A-Fella,THEM,RF,0,4,0.0,n/a,NaN,0.0,0,0,0,0,1,0,3,0,2,0,3,0,0,0,4,1,0
Gerow Animals,Roc-A-Fella,THEM,RF,7,1,0.875,-708.0,0.7,0.0,-169,539,-708,3,1,4,0,4,0,6,0,0,1,7,0,0,0
Takers,Roc-A-Fella,THEM,RF,4,6,0.4,-336.6,0.648,0.4,1091,3447,-2356,1,4,3,2,1,1,4,4,1,6,3,0,0,0
Dubs,Roc-A-Fella,THEM,RF,3,6,0.333,-23.0,0.632,0.4,3589,3773,-184,1,4,2,2,1,0,2,5,2,6,1,0,0,0
