Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,21,9,0.7,80.6,0.541,0.493,11311,9135,2176,13,3,8,6,6,4,18,8,18,9,3,0,0,0
Glory Carriers,Aftermath,US,AM,22,10,0.688,51.7,0.563,0.565,10718,9375,1343,12,4,10,6,11,3,19,10,16,10,6,0,0,0
Twintuition,Aftermath,US,AM,17,9,0.654,125.1,0.492,0.463,10968,8090,2878,8,3,9,6,8,5,15,8,16,7,1,2,0,0
Mad Setters,Aftermath,US,AM,1,29,0.032,-355.3,0.543,0.0,1245,3732,-2487,0,14,1,15,0,12,0,26,0,7,1,22,1,0
PG2020,Aftermath,US,AM,17,14,0.548,-63.4,0.566,0.459,9150,10734,-1584,11,3,6,11,6,7,15,13,11,14,6,0,0,0
Double Ds,Ruff Ryders,US,RR,6,24,0.2,-164.0,0.602,0.688,9151,13251,-4100,3,11,3,13,1,12,5,22,1,24,5,0,0,0
Gotham Knights,Ruff Ryders,US,RR,15,16,0.484,-19.1,0.55,0.369,12217,12751,-534,8,8,7,8,8,4,13,15,12,16,3,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,18,13,0.581,-73.1,0.551,0.468,9545,11520,-1975,10,8,8,5,8,5,16,12,14,13,4,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,21,10,0.677,71.6,0.557,0.491,9537,7748,1789,11,5,10,5,9,3,20,8,16,9,5,1,0,0
Miller Time,Ruff Ryders,US,RR,14,16,0.467,-20.9,0.57,0.475,11187,11751,-564,9,8,5,8,5,7,13,14,11,16,3,0,0,0
Chaos Control,State Property,US,SP,23,8,0.742,180.6,0.519,0.483,12193,7498,4695,12,4,11,4,7,5,19,8,18,8,5,0,0,0
House of Minicks,State Property,US,SP,1,25,0.036,-316.4,0.638,0.742,1776,4624,-2848,0,9,1,16,1,12,1,23,1,8,0,17,2,0
PGs Finest,State Property,US,SP,11,20,0.355,-206.2,0.576,0.436,5762,10298,-4536,7,9,4,11,7,6,11,17,7,15,4,5,0,0
TC Tricksters,State Property,US,SP,21,9,0.7,64.8,0.54,0.516,9845,8159,1686,11,4,10,5,7,6,18,9,17,9,4,0,0,0
Team Bui,State Property,US,SP,21,9,0.7,108.7,0.616,0.61,10546,8045,2501,11,4,10,5,10,3,19,9,14,9,7,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,4,24,0.121,-182.8,0.531,0.412,1331,2245,-914,2,15,2,9,1,9,4,21,1,4,3,20,5,0
Kimasha,Death Row,THEM,DR,21,9,0.7,-24.4,0.581,0.579,8122,8634,-512,13,4,8,5,9,2,20,8,12,9,9,0,0,0
Star Studded,Death Row,THEM,DR,21,8,0.724,46.1,0.615,0.56,8190,7315,875,10,3,11,5,9,4,17,8,11,8,10,0,0,0
That Couple,Death Row,THEM,DR,24,8,0.75,95.5,0.614,0.574,9887,7785,2102,12,3,12,5,8,4,21,8,14,8,10,0,0,0
StickemUp,Death Row,THEM,DR,6,24,0.188,-93.2,0.636,0.695,3666,4505,-839,3,13,3,11,2,10,6,21,2,7,4,17,2,0
M2S,No Limit,THEM,NL,20,11,0.645,38.2,0.594,0.518,8663,7823,840,6,8,14,3,8,4,19,9,12,10,8,1,0,0
Team To Beat,No Limit,THEM,NL,21,10,0.677,88.1,0.53,0.441,9283,7344,1939,13,5,8,5,8,4,19,9,13,9,8,1,0,0
Cutting Cuzzins,No Limit,THEM,NL,1,27,0.031,-376.2,0.64,0.0,1076,3333,-2257,1,13,0,14,0,13,1,24,0,6,1,21,4,0
Toshiba Auggie,No Limit,THEM,NL,20,9,0.69,83.0,0.577,0.569,9952,8126,1826,9,4,11,5,9,3,18,8,13,9,7,0,0,0
Us,No Limit,THEM,NL,15,14,0.5,-88.3,0.61,0.482,6640,8141,-1501,6,9,9,5,6,7,15,12,7,10,8,4,1,0
Brick City,Roc-A-Fella,THEM,RF,4,21,0.138,103.0,0.626,0.62,2543,1925,618,3,10,1,11,2,9,2,19,4,2,0,19,4,0
Croatias Best,Roc-A-Fella,THEM,RF,5,20,0.167,-68.0,0.717,0.69,813,949,-136,1,10,4,10,2,8,5,17,1,1,4,19,5,0
Gerow Animals,Roc-A-Fella,THEM,RF,23,8,0.742,75.5,0.553,0.554,8847,7261,1586,12,3,11,5,9,4,22,7,13,8,10,0,0,0
Takers,Roc-A-Fella,THEM,RF,14,20,0.412,-201.9,0.565,0.469,6013,10656,-4643,6,10,8,10,7,6,13,17,7,16,7,4,0,0
Dubs,Roc-A-Fella,THEM,RF,19,13,0.594,103.0,0.568,0.436,11566,8990,2576,10,7,9,6,9,2,17,11,12,13,7,0,0,0
