Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,10,5,0.667,101.9,0.463,0.423,5493,4067,1426,7,2,3,3,3,2,9,4,9,5,1,0,0,0
Glory Carriers,Aftermath,US,AM,10,6,0.625,3.3,0.571,0.522,5480,5434,46,6,3,4,3,6,2,10,6,8,6,2,0,0,0
Twintuition,Aftermath,US,AM,8,6,0.571,131.5,0.428,0.368,5709,4131,1578,3,3,5,3,3,3,6,5,8,4,0,2,0,0
Mad Setters,Aftermath,US,AM,1,13,0.067,-355.3,0.529,0.0,1245,3732,-2487,0,7,1,6,0,7,0,12,0,7,1,6,1,0
PG2020,Aftermath,US,AM,8,5,0.615,10.1,0.577,0.543,4545,4434,111,4,0,4,5,4,2,7,4,6,5,2,0,0,0
Double Ds,Ruff Ryders,US,RR,2,14,0.125,-150.4,0.622,0.0,5335,7441,-2106,1,7,1,7,1,7,2,13,0,14,2,0,0,0
Gotham Knights,Ruff Ryders,US,RR,7,9,0.438,-61.8,0.513,0.225,6197,7124,-927,3,3,4,6,4,3,6,8,6,9,1,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,14,3,0.824,93.8,0.429,0.384,6766,5359,1407,8,1,6,2,7,1,13,3,12,3,2,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,10,5,0.667,137.1,0.53,0.433,5379,3734,1645,5,2,5,3,4,2,10,4,8,4,2,1,0,0
Miller Time,Ruff Ryders,US,RR,5,9,0.357,-39.3,0.581,0.474,5688,6238,-550,2,5,3,4,1,4,5,7,5,9,0,0,0,0
Chaos Control,State Property,US,SP,9,4,0.692,196.7,0.412,0.38,5544,3184,2360,6,2,3,2,3,3,9,4,8,4,1,0,0,0
House of Minicks,State Property,US,SP,1,11,0.071,-316.4,0.624,0.692,1776,4624,-2848,0,4,1,7,1,5,1,10,1,8,0,3,2,0
PGs Finest,State Property,US,SP,5,10,0.333,-197.3,0.519,0.319,3764,6526,-2762,3,5,2,5,3,3,5,9,5,9,0,1,0,0
TC Tricksters,State Property,US,SP,11,5,0.688,87.7,0.454,0.399,5779,4464,1315,7,2,4,3,4,3,10,5,10,5,1,0,0,0
Team Bui,State Property,US,SP,8,6,0.571,11.7,0.627,0.63,4944,4815,129,5,2,3,4,5,2,7,6,5,6,3,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,4,16,0.19,-182.8,0.659,0.529,1331,2245,-914,2,10,2,6,1,6,4,14,1,4,3,12,1,0
Kimasha,Death Row,THEM,DR,12,2,0.857,126.4,0.585,0.63,3795,2784,1011,7,1,5,1,5,1,12,2,6,2,6,0,0,0
Star Studded,Death Row,THEM,DR,11,5,0.688,-4.2,0.559,0.476,5420,5474,-54,5,3,6,2,4,2,8,5,8,5,3,0,0,0
That Couple,Death Row,THEM,DR,11,6,0.647,19.8,0.611,0.528,5084,4847,237,5,3,6,3,5,3,9,6,6,6,5,0,0,0
StickemUp,Death Row,THEM,DR,4,11,0.267,-101.6,0.656,0.71,3136,3949,-813,2,6,2,5,1,4,4,11,2,6,2,5,0,0
M2S,No Limit,THEM,NL,10,5,0.667,25.1,0.522,0.429,3830,3579,251,4,3,6,2,5,2,10,5,6,4,4,1,0,0
Team Marfo,No Limit,THEM,NL,11,5,0.688,75.8,0.495,0.398,6037,5051,986,6,2,5,3,5,2,10,5,8,5,3,0,0,0
Cutting Cuzzins,No Limit,THEM,NL,0,14,0.0,-376.2,0.667,0.0,1076,3333,-2257,0,7,0,7,0,6,0,12,0,6,0,8,2,0
Toshiba Auggie,No Limit,THEM,NL,10,7,0.588,89.4,0.558,0.54,6822,5481,1341,4,2,6,5,5,2,9,7,8,7,2,0,0,0
Us,No Limit,THEM,NL,9,6,0.563,-62.2,0.528,0.443,3729,4289,-560,4,4,5,2,2,5,9,6,5,4,4,2,1,0
Brick City,Roc-A-Fella,THEM,RF,4,12,0.25,103.0,0.613,0.59,2543,1925,618,3,6,1,6,2,5,2,12,4,2,0,10,0,0
Croatias Best,Roc-A-Fella,THEM,RF,5,11,0.294,-68.0,0.594,0.588,813,949,-136,1,6,4,5,2,4,5,9,1,1,4,10,1,0
Gerow Animals,Roc-A-Fella,THEM,RF,9,6,0.6,44.2,0.571,0.582,5360,4785,575,7,2,2,4,2,4,9,5,7,6,2,0,0,0
Takers,Roc-A-Fella,THEM,RF,9,8,0.529,-91.0,0.466,0.4,4406,5589,-1183,5,2,4,6,5,2,8,7,6,7,3,1,0,0
Dubs,Roc-A-Fella,THEM,RF,11,4,0.733,213.4,0.468,0.389,5765,3204,2561,7,2,4,2,5,1,10,3,8,4,3,0,0,0
