Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,16,9,0.64,62.5,0.544,0.493,8652,7276,1376,12,3,4,6,5,4,13,8,13,9,3,0,0,0
Glory Carriers,Aftermath,US,AM,17,10,0.63,24.8,0.565,0.561,8674,8129,545,9,4,8,6,8,3,15,10,12,10,5,0,0,0
Twintuition,Aftermath,US,AM,15,8,0.652,134.2,0.478,0.466,10317,7499,2818,7,3,8,5,6,4,13,7,15,6,0,2,0,0
Mad Setters,Aftermath,US,AM,1,25,0.037,-355.3,0.547,0.0,1245,3732,-2487,0,13,1,12,0,10,0,23,0,7,1,18,1,0
PG2020,Aftermath,US,AM,15,10,0.6,-53.2,0.551,0.475,7564,8627,-1063,10,1,5,9,6,4,14,9,10,10,5,0,0,0
Double Ds,Ruff Ryders,US,RR,6,19,0.24,-161.1,0.602,0.63,7373,10595,-3222,3,9,3,10,1,9,5,17,1,19,5,0,0,0
Gotham Knights,Ruff Ryders,US,RR,13,13,0.5,-19.5,0.549,0.391,10376,10844,-468,6,5,7,8,7,4,11,12,11,13,2,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,18,9,0.667,-17.0,0.535,0.463,8992,9383,-391,10,6,8,3,8,4,16,8,14,9,4,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,18,8,0.692,109.3,0.566,0.525,8679,6275,2404,9,4,9,4,8,3,18,7,15,7,3,1,0,0
Miller Time,Ruff Ryders,US,RR,11,15,0.423,-57.1,0.588,0.494,9743,11114,-1371,7,7,4,8,3,7,10,13,9,15,2,0,0,0
Chaos Control,State Property,US,SP,18,7,0.72,206.2,0.489,0.435,9069,4945,4124,9,4,9,3,6,4,15,7,13,7,5,0,0,0
House of Minicks,State Property,US,SP,1,21,0.042,-316.4,0.642,0.72,1776,4624,-2848,0,9,1,12,1,11,1,20,1,8,0,13,2,0
PGs Finest,State Property,US,SP,9,18,0.333,-210.8,0.563,0.401,4998,9004,-4006,5,7,4,11,5,6,9,16,6,13,3,5,0,0
TC Tricksters,State Property,US,SP,19,7,0.731,95.0,0.523,0.488,8894,6803,2091,9,3,10,4,6,4,16,7,15,7,4,0,0,0
Team Bui,State Property,US,SP,17,8,0.68,74.9,0.633,0.641,8017,6668,1349,11,3,6,5,9,2,16,8,10,8,7,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,4,24,0.129,-182.8,0.576,0.433,1331,2245,-914,2,15,2,9,1,9,4,21,1,4,3,20,3,0
Kimasha,Death Row,THEM,DR,17,9,0.654,-63.8,0.588,0.583,6465,7613,-1148,9,4,8,5,7,2,16,8,9,9,8,0,0,0
Star Studded,Death Row,THEM,DR,18,7,0.72,19.6,0.608,0.55,6716,6402,314,8,3,10,4,8,3,15,7,9,7,9,0,0,0
That Couple,Death Row,THEM,DR,22,7,0.759,104.6,0.608,0.576,8912,6821,2091,11,3,11,4,8,4,19,7,13,7,9,0,0,0
StickemUp,Death Row,THEM,DR,6,21,0.222,-93.2,0.641,0.68,3666,4505,-839,3,12,3,9,2,8,6,19,2,7,4,14,0,0
M2S,No Limit,THEM,NL,17,11,0.607,-29.5,0.624,0.535,7127,7688,-561,5,8,12,3,7,4,17,9,9,10,8,1,0,0
Team 2 Beat,No Limit,THEM,NL,18,8,0.692,102.5,0.501,0.426,8405,6458,1947,11,4,7,4,7,4,16,8,12,7,6,1,0,0
Cutting Cuzzins,No Limit,THEM,NL,1,24,0.034,-376.2,0.65,0.0,1076,3333,-2257,1,12,0,12,0,11,1,21,0,6,1,18,4,0
Toshiba Auggie,No Limit,THEM,NL,17,7,0.708,103.2,0.557,0.562,8386,6528,1858,7,2,10,5,8,2,16,7,11,7,6,0,0,0
Us,No Limit,THEM,NL,14,12,0.519,-55.9,0.606,0.497,6238,7076,-838,6,8,8,4,5,6,14,10,7,8,7,4,1,0
Brick City,Roc-A-Fella,THEM,RF,4,19,0.154,103.0,0.634,0.602,2543,1925,618,3,10,1,9,2,9,2,18,4,2,0,17,3,0
Croatias Best,Roc-A-Fella,THEM,RF,5,18,0.185,-68.0,0.714,0.708,813,949,-136,1,9,4,9,2,6,5,15,1,1,4,17,4,0
Gerow Animals,Roc-A-Fella,THEM,RF,18,7,0.72,86.4,0.552,0.561,7397,5928,1469,10,2,8,5,6,4,18,6,10,7,8,0,0,0
Takers,Roc-A-Fella,THEM,RF,13,17,0.433,-186.0,0.542,0.448,5371,9090,-3719,6,8,7,9,6,4,12,14,7,13,6,4,0,0
Dubs,Roc-A-Fella,THEM,RF,18,8,0.692,171.8,0.531,0.432,9089,5825,3264,10,5,8,3,8,1,16,7,11,8,7,0,0,0
