Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,10,4,0.714,111.9,0.462,0.419,4993,3538,1455,7,1,3,3,3,2,9,3,9,4,1,0,0,0
Glory Carriers,Aftermath,US,AM,10,5,0.667,12.3,0.56,0.51,5062,4902,160,6,2,4,3,6,1,10,5,8,5,2,0,0,0
Twintuition,Aftermath,US,AM,7,5,0.583,118.5,0.412,0.309,5170,3867,1303,3,3,4,2,3,3,6,4,7,4,0,1,0,0
Mad Setters,Aftermath,US,AM,1,12,0.071,-355.3,0.551,0.0,1245,3732,-2487,0,6,1,6,0,6,0,11,0,7,1,5,1,0
PG2020,Aftermath,US,AM,6,5,0.545,-0.3,0.581,0.5,4013,4016,-3,4,0,2,5,2,2,5,4,5,5,1,0,0,0
Double Ds,Ruff Ryders,US,RR,1,14,0.067,-150.4,0.63,0.0,5335,7441,-2106,0,7,1,7,0,7,1,13,0,14,1,0,0,0
Gotham Knights,Ruff Ryders,US,RR,6,8,0.429,-71.8,0.494,0.191,5245,6179,-934,2,3,4,5,3,2,5,7,5,8,1,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,11,3,0.786,52.5,0.388,0.336,5702,5020,682,6,1,5,2,6,1,10,3,10,3,1,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,9,4,0.692,137.1,0.518,0.421,5379,3734,1645,4,2,5,2,4,1,9,3,8,4,1,0,0,0
Miller Time,Ruff Ryders,US,RR,5,7,0.417,-10.4,0.585,0.471,4971,5096,-125,2,5,3,2,1,3,5,6,5,7,0,0,0,0
Chaos Control,State Property,US,SP,9,3,0.75,222.1,0.408,0.398,5043,2600,2443,6,2,3,1,3,2,9,3,8,3,1,0,0,0
House of Minicks,State Property,US,SP,1,11,0.077,-316.4,0.641,0.75,1776,4624,-2848,0,4,1,7,1,5,1,10,1,8,0,3,1,0
PGs Finest,State Property,US,SP,5,8,0.385,-169.9,0.506,0.288,3712,5921,-2209,3,4,2,4,3,2,5,7,5,8,0,0,0,0
TC Tricksters,State Property,US,SP,10,4,0.714,110.3,0.424,0.388,5284,3850,1434,6,2,4,2,3,3,9,4,9,4,1,0,0,0
Team Bui,State Property,US,SP,6,6,0.5,1.9,0.636,0.625,3831,3814,17,4,2,2,4,4,2,5,6,3,6,3,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,4,15,0.211,-182.8,0.676,0.6,1331,2245,-914,2,9,2,6,1,5,4,13,1,4,3,11,0,0
Kimasha,Death Row,THEM,DR,12,2,0.857,126.4,0.574,0.614,3795,2784,1011,7,1,5,1,5,1,12,2,6,2,6,0,0,0
Star Studded,Death Row,THEM,DR,9,5,0.643,-34.9,0.559,0.465,4781,5200,-419,3,3,6,2,4,2,7,5,7,5,2,0,0,0
That Couple,Death Row,THEM,DR,9,6,0.6,19.8,0.616,0.532,5084,4847,237,5,3,4,3,3,3,7,6,6,6,3,0,0,0
StickemUp,Death Row,THEM,DR,3,9,0.25,-140.8,0.682,0.857,2158,3003,-845,2,5,1,4,1,3,3,9,1,5,2,4,0,0
M2S,No Limit,THEM,NL,9,5,0.643,25.1,0.504,0.422,3830,3579,251,3,3,6,2,4,2,9,5,6,4,3,1,0,0
Team Marfo,No Limit,THEM,NL,9,5,0.643,75.8,0.5,0.396,6037,5051,986,5,2,4,3,4,2,8,5,8,5,1,0,0,0
Cutting Cuzzins,No Limit,THEM,NL,0,13,0.0,-376.2,0.651,0.0,1076,3333,-2257,0,7,0,6,0,5,0,11,0,6,0,7,1,0
Toshiba Auggie,No Limit,THEM,NL,9,6,0.6,103.2,0.575,0.536,5845,4504,1341,4,1,5,5,5,2,8,6,7,6,2,0,0,0
U$,No Limit,THEM,NL,8,5,0.615,-74.8,0.548,0.474,3223,3821,-598,3,4,5,1,2,4,8,5,4,4,4,1,0,0
Brick City,Roc-A-Fella,THEM,RF,4,11,0.267,103.0,0.643,0.625,2543,1925,618,3,5,1,6,2,4,2,11,4,2,0,9,0,0
Croatias Best,Roc-A-Fella,THEM,RF,4,9,0.286,-68.0,0.6,0.6,813,949,-136,1,4,3,5,1,3,4,7,1,1,3,8,1,0
Gerow Animals,Roc-A-Fella,THEM,RF,9,6,0.6,44.2,0.588,0.583,5360,4785,575,7,2,2,4,2,4,9,5,7,6,2,0,0,0
Takers,Roc-A-Fella,THEM,RF,9,6,0.6,-92.8,0.46,0.398,3939,5052,-1113,5,1,4,5,5,2,8,5,6,6,3,0,0,0
Dubs,Roc-A-Fella,THEM,RF,10,3,0.769,257.8,0.449,0.386,5501,2665,2836,7,1,3,2,4,1,9,3,8,3,2,0,0,0
