Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,5,3,0.625,46.6,0.507,0.465,3104,2731,373,3,1,2,2,2,2,5,2,5,3,0,0,0,0
Glory Carriers,Aftermath,US,AM,6,4,0.6,-55.7,0.645,0.581,3145,3646,-501,3,2,3,2,4,0,6,4,5,4,1,0,0,0
JQ Suited,Aftermath,US,AM,6,4,0.6,92.6,0.356,0.196,4621,3695,926,2,2,4,2,3,3,6,3,6,4,0,0,0,0
Mad Setters,Aftermath,US,AM,1,8,0.111,-355.3,0.541,0.0,1245,3732,-2487,0,4,1,4,0,4,0,7,0,7,1,1,0,0
PG2020,Aftermath,US,AM,3,4,0.429,-57.1,0.509,0.308,2608,3008,-400,2,0,1,4,1,1,3,3,3,4,0,0,0,0
Double Ds,Ruff Ryders,US,RR,0,9,0.0,-141.8,0.61,0.0,3513,4789,-1276,0,5,0,4,0,5,0,9,0,9,0,0,0,0
Gotham Knights,Ruff Ryders,US,RR,4,5,0.444,-32.2,0.395,0.171,3887,4177,-290,1,2,3,3,3,1,4,4,4,5,0,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,7,2,0.778,59.3,0.472,0.429,3436,2962,474,4,0,3,2,2,1,6,2,6,2,1,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,7,2,0.778,243.0,0.481,0.419,4427,2240,2187,3,2,4,0,4,1,7,2,7,2,0,0,0,0
Miller Time,Ruff Ryders,US,RR,5,3,0.625,50.8,0.507,0.429,3454,3048,406,2,2,3,1,1,2,5,3,5,3,0,0,0,0
Chaos Control,State Property,US,SP,5,2,0.714,87.0,0.371,0.318,3018,2409,609,4,1,1,1,1,1,5,2,5,2,0,0,0,0
House of Minicks,State Property,US,SP,0,8,0.0,-406.7,0.625,0.0,738,3178,-2440,0,3,0,5,0,2,0,7,0,6,0,2,0,0
PGs Finest,State Property,US,SP,4,5,0.444,-72.8,0.5,0.273,3261,3916,-655,2,4,2,1,2,1,4,4,4,5,0,0,0,0
TC Tricksters,State Property,US,SP,5,2,0.714,230.4,0.356,0.286,3391,1778,1613,3,1,2,1,2,1,5,2,5,2,0,0,0,0
Team Bui,State Property,US,SP,3,5,0.375,-78.3,0.607,0.563,2846,3394,-548,2,2,1,3,2,2,3,5,2,5,1,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,4,7,0.364,-163.3,0.692,0.556,688,1178,-490,2,4,2,3,1,2,4,6,1,2,3,5,0,0
Kimasha,Death Row,THEM,DR,6,2,0.75,116.6,0.5,0.513,3281,2465,816,3,1,3,1,3,1,6,2,5,2,1,0,0,0
Star Studded,Death Row,THEM,DR,4,5,0.444,-130.8,0.607,0.478,2649,3695,-1046,2,3,2,2,2,2,3,5,3,5,1,0,0,0
That Couple,Death Row,THEM,DR,3,3,0.5,85.0,0.531,0.4,2479,1969,510,1,2,2,1,1,2,3,3,3,3,0,0,0,0
StickemUp,Death Row,THEM,DR,2,5,0.286,-115.3,0.667,0.75,1500,1961,-461,1,3,1,2,1,1,2,5,1,3,1,2,0,0
M2S,No Limit,THEM,NL,6,2,0.75,206.0,0.37,0.35,3060,1824,1236,2,2,4,0,4,0,6,2,5,1,1,1,0,0
Team Marfo,No Limit,THEM,NL,4,3,0.571,32.8,0.468,0.25,2734,2537,197,2,1,2,2,1,2,3,3,3,3,1,0,0,0
Cutting Cuzzins,No Limit,THEM,NL,0,8,0.0,-376.2,0.705,0.0,1076,3333,-2257,0,5,0,3,0,4,0,8,0,6,0,2,0,0
Toshiba Auggie,No Limit,THEM,NL,4,4,0.5,47.7,0.554,0.5,2986,2652,334,2,1,2,3,1,1,3,4,3,4,1,0,0,0
U$,No Limit,THEM,NL,6,1,0.857,64.0,0.474,0.4,2602,2282,320,3,1,3,0,2,1,6,1,4,1,2,0,0,0
Brick City,Roc-A-Fella,THEM,RF,4,4,0.5,103.0,0.608,0.6,2543,1925,618,3,3,1,1,2,1,2,4,4,2,0,2,0,0
Croatias Best,Roc-A-Fella,THEM,RF,3,4,0.429,-68.0,0.563,0.5,813,949,-136,1,1,2,3,0,2,3,3,1,1,2,3,0,0
Gerow Animals,Roc-A-Fella,THEM,RF,5,3,0.625,104.5,0.538,0.538,3648,2812,836,3,1,2,2,2,3,5,3,5,3,0,0,0,0
Takers,Roc-A-Fella,THEM,RF,5,4,0.556,-42.8,0.5,0.406,3062,3404,-342,3,1,2,3,3,1,4,4,4,4,1,0,0,0
Dubs,Roc-A-Fella,THEM,RF,6,2,0.75,234.3,0.4,0.34,3992,2118,1874,3,1,3,1,1,1,5,2,6,2,0,0,0,0
