Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,10,6,0.625,62.7,0.476,0.423,5535,4595,940,7,2,3,4,3,2,9,5,9,6,1,0,0,0
Glory Carriers,Aftermath,US,AM,12,6,0.667,3.3,0.585,0.531,5480,5434,46,7,3,5,3,6,2,11,6,8,6,4,0,0,0
Twintuition,Aftermath,US,AM,9,7,0.563,125.4,0.438,0.367,6759,5003,1756,4,3,5,4,3,4,7,6,9,5,0,2,0,0
Mad Setters,Aftermath,US,AM,1,15,0.059,-355.3,0.526,0.0,1245,3732,-2487,0,8,1,7,0,7,0,14,0,7,1,8,1,0
PG2020,Aftermath,US,AM,10,5,0.667,23.8,0.557,0.515,5623,5313,310,6,0,4,5,5,2,9,4,8,5,2,0,0,0
Double Ds,Ruff Ryders,US,RR,3,15,0.167,-140.7,0.602,0.0,5844,7954,-2110,1,7,2,8,1,8,3,14,0,15,3,0,0,0
Gotham Knights,Ruff Ryders,US,RR,7,10,0.412,-71.3,0.522,0.233,6546,7686,-1140,3,3,4,7,4,3,6,9,6,10,1,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,14,3,0.824,93.8,0.452,0.399,6766,5359,1407,8,1,6,2,7,1,13,3,12,3,2,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,13,5,0.722,174.6,0.515,0.435,6385,3940,2445,6,2,7,3,5,2,13,4,10,4,3,1,0,0
Miller Time,Ruff Ryders,US,RR,6,11,0.353,-62.0,0.579,0.437,6751,7805,-1054,3,6,3,5,2,5,6,9,6,11,0,0,0,0
Chaos Control,State Property,US,SP,11,4,0.733,219.5,0.397,0.355,6081,3228,2853,7,2,4,2,5,3,11,4,9,4,2,0,0,0
House of Minicks,State Property,US,SP,1,14,0.059,-316.4,0.631,0.733,1776,4624,-2848,0,6,1,8,1,6,1,13,1,8,0,6,2,0
PGs Finest,State Property,US,SP,5,12,0.294,-217.0,0.538,0.325,3808,7063,-3255,3,6,2,6,3,4,5,11,5,10,0,2,0,0
TC Tricksters,State Property,US,SP,12,5,0.706,87.7,0.456,0.407,5779,4464,1315,7,2,5,3,4,3,11,5,10,5,2,0,0,0
Team Bui,State Property,US,SP,10,7,0.588,12.2,0.641,0.635,5519,5360,159,7,3,3,4,5,2,9,7,6,7,4,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,4,17,0.174,-182.8,0.648,0.5,1331,2245,-914,2,11,2,6,1,7,4,15,1,4,3,13,2,0
Kimasha,Death Row,THEM,DR,13,4,0.765,16.2,0.573,0.597,4548,4370,178,8,3,5,1,6,1,13,4,7,4,6,0,0,0
Star Studded,Death Row,THEM,DR,13,5,0.722,-4.2,0.559,0.483,5420,5474,-54,6,3,7,2,5,2,10,5,8,5,5,0,0,0
That Couple,Death Row,THEM,DR,13,6,0.684,70.9,0.61,0.558,6142,5150,992,6,3,7,3,5,3,11,6,8,6,5,0,0,0
StickemUp,Death Row,THEM,DR,5,13,0.278,-93.2,0.667,0.694,3666,4505,-839,2,7,3,6,2,6,5,13,2,7,3,6,0,0
M2S,No Limit,THEM,NL,11,6,0.647,45.9,0.569,0.475,4775,4224,551,4,4,7,2,5,2,11,6,7,5,4,1,0,0
Team Marfo,No Limit,THEM,NL,12,6,0.667,21.4,0.51,0.4,5864,5565,299,6,3,6,3,5,2,11,6,8,6,4,0,0,0
Cutting Cuzzins,No Limit,THEM,NL,0,17,0.0,-376.2,0.673,0.0,1076,3333,-2257,0,8,0,9,0,8,0,15,0,6,0,11,2,0
Toshiba Auggie,No Limit,THEM,NL,12,7,0.632,111.8,0.562,0.558,7366,5578,1788,5,2,7,5,6,2,11,7,9,7,3,0,0,0
Us,No Limit,THEM,NL,10,6,0.588,-62.2,0.528,0.433,3729,4289,-560,4,4,6,2,3,5,10,6,5,4,5,2,1,0
Brick City,Roc-A-Fella,THEM,RF,4,14,0.222,103.0,0.608,0.561,2543,1925,618,3,7,1,7,2,5,2,13,4,2,0,12,0,0
Croatias Best,Roc-A-Fella,THEM,RF,5,11,0.278,-68.0,0.6,0.632,813,949,-136,1,6,4,5,2,4,5,9,1,1,4,10,2,0
Gerow Animals,Roc-A-Fella,THEM,RF,9,7,0.563,36.2,0.579,0.597,5836,5329,507,7,2,2,5,2,4,9,6,7,7,2,0,0,0
Takers,Roc-A-Fella,THEM,RF,9,9,0.5,-128.9,0.48,0.381,4363,6167,-1804,5,3,4,6,5,3,8,8,6,8,3,1,0,0
Dubs,Roc-A-Fella,THEM,RF,13,4,0.765,235.3,0.478,0.42,6888,3594,3294,7,2,6,2,6,1,12,3,10,4,3,0,0,0
