ID,Date,Home,Away,Home,Away,Home,Away,Hands
1,2023-11-06,A3,A2,350,504,10,14,9
2,2023-11-06,B2,A4,568,211,8,11,8
3,2023-11-06,E3,E2,315,525,5,15,12
4,2023-11-06,C4,C2,518,-61,8,9,5
5,2023-11-06,C5,C1,527,352,7,12,8
6,2023-11-06,B4,B1,559,123,9,3,8
7,2023-11-07,E4,D1,1,0,0,0,0
8,2023-11-07,D4,D2,74,507,4,7,6
9,2023-11-07,D3,E1,478,505,18,15,15
10,2023-11-07,F3,F4,264,511,4,11,8
11,2023-11-07,C3,B3,422,505,12,15,13
12,2023-11-07,A4,A2,0,1,0,0,0
13,2023-11-07,A1,A5,537,322,7,12,14
14,2023-11-07,C5,C4,137,546,7,6,5
15,2023-11-08,D1,F2,0,1,0,0,0
16,2023-11-08,F5,E2,478,518,8,8,10
17,2023-11-08,A3,A1,278,514,8,14,9
18,2023-11-08,B5,B2,403,579,13,9,8
19,2023-11-08,A5,B3,504,403,14,13,14
20,2023-11-08,E1,E3,588,-73,8,7,9
21,2023-11-08,B4,C3,519,378,9,8,10
22,2023-11-09,E5,F4,539,445,9,15,11
23,2023-11-09,D4,D3,404,514,14,14,13
24,2023-11-09,D2,D1,1,0,0,0,0
25,2023-11-09,A3,C2,505,331,15,11,9
26,2023-11-09,C1,A4,547,187,7,7,9
27,2023-11-09,B1,B5,444,539,14,9,11
28,2023-11-09,C4,A5,519,347,9,7,7
29,2023-11-09,F5,F1,519,196,9,6,11
30,2023-11-09,F3,F2,512,295,12,5,10
31,2023-11-13,E3,D4,36,595,6,5,7
32,2023-11-13,D1,F2,0,1,0,0,0
33,2023-11-13,C3,B5,128,516,8,6,9
34,2023-11-13,F1,E1,0,1,0,0,0
35,2023-11-13,C4,B1,550,425,20,15,15
36,2023-11-13,F4,D5,537,496,7,16,14
37,2023-11-13,F3,F5,565,372,15,22,17
38,2023-11-14,B4,B3,356,508,16,38,28
39,2023-11-14,E2,C2,505,152,15,12,12
40,2023-11-14,A3,A4,539,358,9,18,10
41,2023-11-14,D3,D1,1,0,0,0,0
42,2023-11-14,C5,B2,504,249,14,9,10
43,2023-11-14,F1,A1,508,102,8,12,9
44,2023-11-14,D5,F5,254,557,14,17,15
45,2023-11-14,F2,E4,518,437,8,7,7
46,2023-11-14,A2,A1,505,221,5,11,8
47,2023-11-15,C3,C1,425,516,15,16,15
48,2023-11-15,A2,B4,-27,549,3,9,6
49,2023-11-15,A4,A3,-210,508,10,8,9
50,2023-11-15,D2,E2,537,264,7,14,10
51,2023-11-15,D3,F3,86,515,6,25,15
52,2023-11-15,E1,E4,528,191,8,11,9
53,2023-11-16,B3,A2,529,283,9,13,10
54,2023-11-16,E4,D2,431,605,11,5,9
55,2023-11-16,C1,B5,500,26,10,6,10
56,2023-11-16,B1,B2,507,508,17,8,11
57,2023-11-16,C2,C5,0,1,0,0,0
58,2023-11-16,F1,F3,519,344,19,14,15
59,2023-11-16,D5,E5,0,1,0,0,0
60,2023-11-27,C5,A3,608,619,8,9,7
61,2023-11-27,A4,F4,41,522,1,2,4
62,2023-11-27,D1,B3,167,503,7,13,10
63,2023-11-27,F1,E4,232,506,2,6,6
64,2023-11-27,D5,D2,536,340,16,10,14
65,2023-11-27,B2,D3,388,539,8,9,8
66,2023-11-27,B5,A2,519,355,9,5,7
67,2023-11-28,B4,A1,183,508,3,8,8
68,2023-11-28,E1,D4,376,519,6,9,8
69,2023-11-28,C1,B2,532,294,12,14,12
70,2023-11-28,F2,A4,0,1,0,0,0
71,2023-11-28,B1,C3,362,526,12,16,15
72,2023-11-28,A2,C4,-84,679,6,9,7
73,2023-11-28,C2,A5,292,559,12,9,11
74,2023-11-28,D2,F3,266,504,6,14,8
75,2023-11-28,E2,E5,482,524,12,14,13
76,2023-11-28,E3,F5,66,548,6,8,7
77,2023-11-29,D4,D3,547,3,7,3,5
78,2023-11-29,A1,C2,503,100,13,20,12
79,2023-11-29,F1,A3,523,472,13,2,10
80,2023-11-29,D1,F4,559,162,19,12,15
81,2023-11-29,C1,A2,35,515,5,15,10
82,2023-11-29,B3,B1,508,420,8,10,11
83,2023-11-29,C3,C5,543,367,3,7,8
84,2023-11-29,E5,E1,458,534,18,14,14
85,2023-11-30,E5,E3,548,481,8,11,10
86,2023-11-30,E4,E2,531,440,11,10,10
87,2023-11-30,A5,A4,519,236,9,6,9
88,2023-11-30,C3,C4,508,151,8,1,6
89,2023-11-30,B5,B4,428,614,8,4,8
90,2023-11-30,D2,F4,523,354,3,4,7
91,2023-11-30,D1,F5,-38,513,12,3,10
92,2023-11-30,A1,A3,201,505,11,15,14
93,2023-11-30,B3,C2,1,0,0,0,0
94,2023-12-04,A2,A3,527,317,17,7,10
95,2023-12-04,C1,B1,536,435,6,5,8
96,2023-12-04,F4,F2,1,0,0,0,0
97,2023-12-04,D5,D1,0,1,0,0,0
98,2023-12-04,B2,B4,436,505,6,5,8
99,2023-12-04,D3,D2,302,503,12,13,11
100,2023-12-05,F5,A5,504,357,14,17,19
101,2023-12-05,E5,D4,533,340,13,10,12
102,2023-12-05,C4,B5,428,506,8,16,9
