Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,8,4,0.667,3.6,0.46,0.397,3949,3909,40,5,1,3,3,3,2,8,3,7,4,1,0,0,0
Glory Carriers,Aftermath,US,AM,8,5,0.615,-15.2,0.561,0.5,4523,4705,-182,4,2,4,3,5,1,8,5,7,5,1,0,0,0
JQ Suited,Aftermath,US,AM,6,4,0.6,92.6,0.372,0.239,4621,3695,926,2,2,4,2,3,3,6,3,6,4,0,0,0,0
Mad Setters,Aftermath,US,AM,1,11,0.083,-355.3,0.539,0.0,1245,3732,-2487,0,6,1,5,0,5,0,10,0,7,1,4,0,0
PG2020,Aftermath,US,AM,4,5,0.444,-39.6,0.542,0.417,3499,3855,-356,3,0,1,5,2,2,4,4,4,5,0,0,0,0
Double Ds,Ruff Ryders,US,RR,1,12,0.077,-152.3,0.614,0.0,4514,6341,-1827,0,6,1,6,0,6,1,12,0,12,1,0,0,0
Gotham Knights,Ruff Ryders,US,RR,5,7,0.417,-49.3,0.476,0.2,5048,5640,-592,2,3,3,4,3,2,5,6,5,7,0,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,10,2,0.833,72.2,0.414,0.375,4994,4200,794,6,0,4,2,5,1,9,2,9,2,1,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,9,3,0.75,184.1,0.492,0.415,5231,3206,2025,4,2,5,1,4,1,9,2,8,3,1,0,0,0
Miller Time,Ruff Ryders,US,RR,5,6,0.455,-1.8,0.558,0.431,4568,4588,-20,2,4,3,2,1,3,5,5,5,6,0,0,0,0
Chaos Control,State Property,US,SP,8,3,0.727,222.1,0.388,0.383,5043,2600,2443,6,2,2,1,3,2,8,3,8,3,0,0,0,0
House of Minicks,State Property,US,SP,1,10,0.091,-335.6,0.644,0.727,1380,4065,-2685,0,4,1,6,1,4,1,9,1,7,0,3,0,0
PGs Finest,State Property,US,SP,4,7,0.364,-129.7,0.515,0.313,3560,4987,-1427,2,4,2,3,2,2,4,6,4,7,0,0,0,0
TC Tricksters,State Property,US,SP,8,4,0.667,86.3,0.379,0.313,4248,3299,949,5,2,3,2,3,3,7,4,7,4,1,0,0,0
Team Bui,State Property,US,SP,5,6,0.455,1.9,0.629,0.6,3831,3814,17,4,2,1,4,4,2,5,6,3,6,2,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,4,12,0.25,-170.5,0.714,0.615,1055,1737,-682,2,7,2,5,1,4,4,11,1,3,3,9,0,0
Kimasha,Death Row,THEM,DR,9,2,0.818,126.4,0.561,0.587,3795,2784,1011,6,1,3,1,4,1,9,2,6,2,3,0,0,0
Star Studded,Death Row,THEM,DR,8,5,0.615,-41.5,0.6,0.521,4228,4685,-457,2,3,6,2,4,2,7,5,6,5,2,0,0,0
That Couple,Death Row,THEM,DR,7,5,0.583,30.6,0.605,0.508,4028,3722,306,3,2,4,3,2,3,5,5,5,5,2,0,0,0
StickemUp,Death Row,THEM,DR,3,7,0.3,-130.8,0.689,0.818,1821,2475,-654,2,4,1,3,1,2,3,7,1,4,2,3,0,0
M2S,No Limit,THEM,NL,8,4,0.667,93.6,0.482,0.425,3897,3055,842,2,3,6,1,4,1,8,4,6,3,2,1,0,0
Team Marfo,No Limit,THEM,NL,7,5,0.583,51.2,0.553,0.471,5001,4438,563,4,2,3,3,4,2,6,5,6,5,1,0,0,0
Cutting Cuzzins,No Limit,THEM,NL,0,11,0.0,-376.2,0.662,0.0,1076,3333,-2257,0,6,0,5,0,5,0,10,0,6,0,5,1,0
Toshiba Auggie,No Limit,THEM,NL,7,6,0.538,54.3,0.573,0.525,4663,4066,597,3,1,4,5,4,2,6,6,5,6,2,0,0,0
U$,No Limit,THEM,NL,8,4,0.667,-74.8,0.52,0.458,3223,3821,-598,3,3,5,1,2,4,8,4,4,4,4,0,0,0
Brick City,Roc-A-Fella,THEM,RF,4,8,0.333,103.0,0.639,0.625,2543,1925,618,3,5,1,3,2,3,2,8,4,2,0,6,0,0
Croatias Best,Roc-A-Fella,THEM,RF,4,7,0.333,-68.0,0.577,0.538,813,949,-136,1,3,3,4,1,2,4,6,1,1,3,6,1,0
Gerow Animals,Roc-A-Fella,THEM,RF,8,5,0.615,87.1,0.592,0.58,5324,4279,1045,6,2,2,3,2,4,8,5,7,5,1,0,0,0
Takers,Roc-A-Fella,THEM,RF,8,5,0.615,-66.9,0.471,0.408,3767,4503,-736,5,1,3,4,4,2,7,5,6,5,2,0,0,0
Dubs,Roc-A-Fella,THEM,RF,9,2,0.818,292.0,0.443,0.402,5034,2114,2920,6,1,3,1,3,1,8,2,8,2,1,0,0,0
