Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,13,8,0.619,63.9,0.53,0.471,7306,6092,1214,9,3,4,5,4,3,10,7,11,8,2,0,0,0
Glory Carriers,Aftermath,US,AM,14,8,0.636,-8.8,0.616,0.585,6412,6562,-150,7,3,7,5,7,3,13,8,9,8,5,0,0,0
Twintuition,Aftermath,US,AM,14,7,0.667,144.1,0.483,0.461,9408,6670,2738,6,3,8,4,5,4,12,6,14,5,0,2,0,0
Mad Setters,Aftermath,US,AM,1,21,0.043,-355.3,0.552,0.0,1245,3732,-2487,0,11,1,10,0,8,0,20,0,7,1,14,1,0
PG2020,Aftermath,US,AM,14,7,0.667,22.4,0.547,0.489,7440,7059,381,10,1,4,6,5,3,13,6,10,7,4,0,0,0
Double Ds,Ruff Ryders,US,RR,5,19,0.208,-171.2,0.622,0.0,6854,10106,-3252,3,9,2,10,1,9,4,17,0,19,5,0,0,0
Gotham Knights,Ruff Ryders,US,RR,11,10,0.524,-34.9,0.527,0.348,8091,8754,-663,5,3,6,7,5,3,9,9,9,10,2,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,18,5,0.783,55.2,0.496,0.443,8188,7139,1049,10,3,8,2,8,2,16,5,14,5,4,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,14,8,0.636,55.4,0.562,0.492,6630,5633,997,6,4,8,4,6,3,14,7,11,7,3,1,0,0
Miller Time,Ruff Ryders,US,RR,9,13,0.409,-61.4,0.594,0.462,8596,9886,-1290,5,7,4,6,3,6,8,11,8,13,1,0,0,0
Chaos Control,State Property,US,SP,15,7,0.682,208.6,0.482,0.412,8562,4599,3963,8,4,7,3,5,4,14,7,12,7,3,0,0,0
House of Minicks,State Property,US,SP,1,19,0.045,-316.4,0.643,0.682,1776,4624,-2848,0,7,1,12,1,9,1,18,1,8,0,11,2,0
PGs Finest,State Property,US,SP,7,16,0.304,-204.3,0.541,0.351,4334,7603,-3269,4,7,3,9,4,6,7,15,5,11,2,5,0,0
TC Tricksters,State Property,US,SP,18,5,0.783,138.2,0.495,0.471,7985,5360,2625,9,2,9,3,6,3,15,5,14,5,4,0,0,0
Team Bui,State Property,US,SP,14,8,0.636,21.9,0.644,0.651,6436,6108,328,10,3,4,5,8,2,13,8,7,8,7,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,4,22,0.143,-182.8,0.593,0.4,1331,2245,-914,2,13,2,9,1,8,4,19,1,4,3,18,2,0
Kimasha,Death Row,THEM,DR,17,8,0.68,-58.5,0.59,0.563,6114,7109,-995,9,4,8,4,7,2,16,7,9,8,8,0,0,0
Star Studded,Death Row,THEM,DR,16,7,0.696,-20.9,0.599,0.511,6213,6526,-313,7,3,9,4,6,3,13,7,8,7,8,0,0,0
That Couple,Death Row,THEM,DR,19,6,0.76,108.6,0.609,0.58,7352,5614,1738,10,3,9,3,8,3,17,6,10,6,9,0,0,0
StickemUp,Death Row,THEM,DR,6,19,0.24,-93.2,0.638,0.681,3666,4505,-839,3,10,3,9,2,8,6,17,2,7,4,12,0,0
M2S,No Limit,THEM,NL,15,9,0.625,-15.8,0.615,0.545,6351,6619,-268,5,7,10,2,7,3,15,7,9,8,6,1,0,0
Team Marfo,No Limit,THEM,NL,15,8,0.652,62.0,0.492,0.388,6852,5860,992,9,4,6,4,6,4,14,8,9,7,6,1,0,0
Cutting Cuzzins,No Limit,THEM,NL,1,19,0.042,-376.2,0.657,0.0,1076,3333,-2257,1,10,0,9,0,9,1,17,0,6,1,13,4,0
Toshiba Auggie,No Limit,THEM,NL,15,7,0.682,108.4,0.539,0.534,7873,6031,1842,6,2,9,5,7,2,14,7,10,7,5,0,0,0
Us,No Limit,THEM,NL,11,11,0.478,-65.8,0.589,0.465,5376,6231,-855,4,7,7,4,4,6,11,10,6,7,5,4,1,0
Brick City,Roc-A-Fella,THEM,RF,4,18,0.167,103.0,0.634,0.589,2543,1925,618,3,10,1,8,2,8,2,17,4,2,0,16,2,0
Croatias Best,Roc-A-Fella,THEM,RF,5,17,0.192,-68.0,0.689,0.682,813,949,-136,1,9,4,8,2,6,5,14,1,1,4,16,4,0
Gerow Animals,Roc-A-Fella,THEM,RF,16,7,0.696,86.4,0.553,0.564,7397,5928,1469,9,2,7,5,5,4,16,6,10,7,6,0,0,0
Takers,Roc-A-Fella,THEM,RF,10,15,0.4,-176.8,0.514,0.408,4692,7697,-3005,5,6,5,9,6,4,9,13,6,11,4,4,0,0
Dubs,Roc-A-Fella,THEM,RF,17,5,0.773,224.2,0.512,0.436,7835,4248,3587,10,3,7,2,8,1,16,4,11,5,6,0,0,0
