ID,Date,Home,Away,Home,Away
1,2023-11-06,A3,A2,350,504
2,2023-11-06,B2,A4,568,211
3,2023-11-06,E3,E2,315,525
4,2023-11-06,C4,C2,-61,518
5,2023-11-06,C5,C1,527,352
6,2023-11-06,B4,B1,559,123
7,2023-11-07,D4,D2,74,507
8,2023-11-07,D3,E1,478,505
9,2023-11-07,F3,F4,264,511
10,2023-11-07,C3,B3,422,505
11,2023-11-07,A1,A5,537,322
12,2023-11-07,C5,C4,137,546
13,2023-11-08,F5,E2,478,518
14,2023-11-08,A3,A1,278,514
15,2023-11-08,B5,B2,403,579
16,2023-11-08,A5,B3,504,403
17,2023-11-08,E1,E3,588,-73
18,2023-11-08,B4,C3,519,378
19,2023-11-08,E5,E4,0,1
20,2023-11-09,E5,F4,539,445
21,2023-11-09,D4,D3,404,514
22,2023-11-09,A3,C2,505,331
23,2023-11-09,C1,A4,547,187
24,2023-11-09,B1,B5,444,539
25,2023-11-09,C4,A5,519,347
26,2023-11-09,F5,F1,519,196
27,2023-11-09,F3,F2,512,295
